created_at,text
2015-08-05 06:01:45,A picture from Sammy's modeling portfolio. -- Denise http://t.co/YAvTQCHY5v
2015-08-05 05:01:48,A Kitten Rescued From A Puppy Mill Grows Up To Be Their Sassy Spokesman &gt;&gt;&gt;http://t.co/JR6FK5JAq0 http://t.co/lw0Y58xt0t
2015-08-05 04:01:49,Punk rock style overflowing with sweet sentiment &gt;&gt;&gt;http://t.co/l4YqMPjGym http://t.co/sc4XSzm8DX
2015-08-05 03:01:46,This is patches in the dog water dish -- Candi http://t.co/XpEVn3jLjM
2015-08-05 02:02:11,"This Video Takes Cats At Play To A Whole New Level!

&gt;&gt;http://t.co/J6wxMUepDo http://t.co/DlzD5ZLQWB"
2015-08-05 01:02:51,Celebrate your loved one's birth month and their love for animals! &gt;&gt;http://t.co/U1wk5aCjre http://t.co/hF5Xts8w1F
2015-08-05 00:02:28,Sabrina loves to lay on Mommy's bed! --- Donna http://t.co/zfAksOwn8E
2015-08-04 23:02:37,"Benny was an abused young street cat...

Read here: http://t.co/S24ffvCVzD http://t.co/J3P1UVwPQB"
2015-08-04 22:02:15,"Is Your Pet An Escape Artist?

&gt;&gt;http://t.co/SvKdFAwIdR http://t.co/2Bdh8QPQAK"
2015-08-04 21:02:45,Thank God For This Lady! Watch Her Rescue A Dog Tied To A Tree During A Storm &gt;&gt;&gt;http://t.co/RXwtrN6Y7C http://t.co/CAL8cTejDV
2015-08-04 20:03:40,"Sometimes the love in your heart feels too big for your chest!

&gt;&gt;http://t.co/Zhg29SIek1 http://t.co/ECtGHNDqz7"
2015-08-04 19:03:59,Love #butterscotch --- Kent http://t.co/DZ7B0aSo7B
2015-08-04 18:03:50,"Does Your Dog Love Your Kids This Much?

&gt;&gt;http://t.co/gRsrvTByyy http://t.co/2L9btropID"
